"app_score","rev_body_len","rev_pos_ascend","rev_pos_descend","avg_cosine_similarity_text","avg_levenshtein_dist_text","numeric_text_ratio","rev_rating","stdev_revApp_rating","avg_words_freq_text","num_unique_words_text","unique_words_to_words_text_ratio","avg_num_letters_per_word","stdev_revrating_avgrevratingapp","automated_readability_index_text","avg_cosine_similarity_title","avg_levenshtein_dist_title","brand_names_in_title","avg_words_freq_title","num_unique_words_title","unique_words_to_words_title_ratio","stdev_num_words_title_text","first_rev","only_rev","brand_names_in_text","polarity_text","predicted"
4.49019908905029,11,54,9,0.327602714542712,34.4027777777778,0,5,0.360483681187617,1,2,1,5.5,0.540151013406391,5.475,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Normal"
4.49019908905029,11,55,10,0.387833636975551,34.8055555555556,0,5,0.360483681187617,1,2,1,5.5,0.540151013406391,5.475,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Normal"
4.49019908905029,8,56,11,0.539032611948428,35.5694444444444,0,3,1.05372988118548,1,2,1,4,0.874062548966704,-1.59,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Spam"
4.49019908905029,12,57,12,0.385933749944357,34.7638888888889,0,5,0.360483681187617,1,2,1,6,0.540151013406391,7.83,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Normal"
4.49019908905029,13,42,30,0.299519534439234,34.0833333333333,0,5,0.360483681187617,1,2,1,6.5,0.540151013406391,10.185,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Normal"
4.49019908905029,16,48,21,0.435508454257087,35.7222222222222,0,5,0.360483681187617,1,2,1,8,0.540151013406391,17.25,0,0,0,0,0,"0","0.707106781186548","1","0","0","2","Normal"
4.49019908905029,13,44,28,0.299519534439234,34.0833333333333,0,5,0.360483681187617,1,2,1,6.5,0.540151013406391,10.185,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Normal"
4.49019908905029,8,31,41,0.539032611948428,35.5694444444444,0,5,0.360483681187617,1,2,1,4,0.540151013406391,-1.59,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Normal"
4.49019908905029,11,32,42,0.422999525176827,34.8194444444444,0,5,0.360483681187617,1,2,1,5.5,0.540151013406391,5.475,0,0,0,0,0,"0","0.707106781186548","1","0","0","2","Normal"
4.49019908905029,9,39,32,0.389744436519151,35.2361111111111,0,5,0.360483681187617,1,2,1,4.5,0.540151013406391,0.765000000000001,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Normal"
4.49019908905029,14,24,46,0.385158487501539,34.7638888888889,0,5,0.360483681187617,1,2,1,7,0.540151013406391,12.54,0,0,0,0,0,"0","0.707106781186548","1","1","0","2","Normal"
4.49019908905029,11,58,13,0.505452083452202,35.6666666666667,0,5,0.360483681187617,1,3,1,3.66666666666667,0.540151013406391,5.475,0,0,0,0,0,"0","1.4142135623731","1","0","0","2","Normal"
4.49019908905029,13,59,14,0.417568127625967,34.5972222222222,0,5,0.360483681187617,1,2,1,6,0.540151013406391,10.185,0,0,0,0,0,"0","0.707106781186548","1","0","0","2","Normal"
4.49019908905029,15,69,1,0.37400300381382,34.8194444444444,0,5,0.360483681187617,1,3,1,5,0.540151013406391,3.62,0,0,0,0,0,"0","1.4142135623731","1","1","0","2","Normal"
4.49019908905029,27,60,15,0.347613182283613,38.8888888888889,0,5,0.360483681187617,1,6,1,4.5,0.540151013406391,6.504,0,0,0,0,0,"0","3.53553390593274","1","1","0","1","Normal"
4.49019908905029,17,19,53,0.375396652101418,35.6805555555556,0,5,0.360483681187617,1,3,1,5.66666666666667,0.540151013406391,6.76,0,0,0,0,0,"0","1.4142135623731","1","0","0","0","Normal"
4.49019908905029,14,67,5,0.343865938477145,35,0,1,2.46794344355857,1,4,1,3.5,2.2882761113398,-2.945,0,0,0,0,0,"0","2.12132034355964","1","1","0","1","Normal"
4.49019908905029,24,46,26,0.277220251967879,37.4166666666667,0,5,0.360483681187617,1,4,1,6,0.540151013406391,8.83,0,0,0,0,0,"0","2.12132034355964","1","0","0","2","Normal"
4.49019908905029,21,49,22,0.32390803492767,36.4444444444444,0.0476190476190476,5,0.360483681187617,1,4,1,5.25,0.540151013406391,5.2975,0,0,0,0,0,"0","2.12132034355964","1","0","0","2","Normal"
4.49019908905029,19,28,43,0.28592611395597,36.125,0,5,0.360483681187617,1,4,1,4.75,0.540151013406391,2.9425,0,0,0,0,0,"0","2.12132034355964","1","1","0","0","Normal"
4.49019908905029,23,70,2,0.380478256607425,38.6666666666667,0.0434782608695652,4,0.34662309999893,1,6,1,3.66666666666667,0.166955767780157,-0.375,0,0,0,0,0,"0","3.53553390593274","1","0","0","0","Normal"
4.49019908905029,49,50,23,0.300185983776984,51.0972222222222,0,5,0.360483681187617,1.28571428571429,7,0.777777777777778,4.7,0.540151013406391,11.41875,0,0,0,0,0,"0","5.65685424949238","1","1","0","2","Normal"
4.49019908905029,35,61,16,0.249313539797911,41.9166666666667,0,5,0.360483681187617,1,5,1,7,0.540151013406391,14.04,0,0,0,0,0,"0","2.82842712474619","1","0","0","2","Normal"
4.49019908905029,32,68,6,0.359427141667971,41.5416666666667,0,5,0.360483681187617,1,4,1,7.25,0.540151013406391,18.25,0,0,0,0,0,"0","2.12132034355964","1","1","0","2","Normal"
4.49019908905029,64,25,47,0.242075532027212,60.8472222222222,0,5,0.360483681187617,1,9,1,7.11111111111111,0.540151013406391,16.5633333333333,0,0,0,0,0,"0","5.65685424949238","1","1","0","2","Normal"
